105,"""기사랑 상관없지만 목선어부 너무 이상합니다. 왜 4명이 왓는데 두명은 돌려보내고 두명은 남아잇는지. 왜 복장이 양복을 입고있엇는지. 너무도 태연하게 휴대폰을 빌려달라 햇는지. 무엇보다 초계기나 레이다망에 인식가능함에도 당국은 인식하지 못햇다는건지 그리고 왜 경계에 대한 책이을 지는 자가 아무도 없는지...그냥 이 나라에서는 이정도는 에피소드나 헤프닝인가요?"""
106,"""김여정 VS 이방카 만약 내 여자로 만들고 싶다면?\n이방카 공감 김여정 비공"""
107,"""기자 못배웟네 ,,, 해석 좀"""
108,"""이번쇼에 북한핵 포기는 없을거다. 근데 계속 국민은 속을꺼다..우매구자체"""
109,"""마약에 쩔어사는 살인마 돼지 여동생하고 이방카를 1:1로 비교하디니 역시 빨갱이 언론"""
110,"""이방카 존나예쁨 베이비인헝인듯"""
111,"""참 뉴스치고는..두사람을 어떻게 같은 반열에..기자 근성이란..어이상실"""
112,"""인사 안했어. 애 키우는 이방카가 미쳤냐? 결핵 옮게."""
113,"""이방카는 대통령딸로써  대통령을 잘보필하는데 우리나라 대통령 딸래미는 외국으로 야반도주......차이가 너무난다."""
114,"""김여정 누구지 강적들에 나오는 보수층 아저씨 전원책인가 ??ㅋㅋㅋ 거기랑 닮았는디 ㅎㅎ 이방카 개짱날듯헌디 ㅎㅎ180에 모델했던 이방카랑  저 쭈구리를 비교 ㅋㅋ"""
115,"""이방카는 프렌즈의 피비 닮음"""
116,"""김여정 넓은 이마 가리고 좀 꾸몄으면 좋겠다. 빈티남."""
117,"""이번 남북미 번개회담은 묻지도 따지지도말고 대한민국 국민이라면 문재인대통령님께 수고하셨다는 박수한번씩 보내십시다...!!\n여기에 헛소리 댓글인은 아마도 친일파후손일듯^^"""
118,"""우리네 대통령 따님은 어디 계실까나?"""
119,"""이방카 압승"""
120,"""두자리수도 아니고 겨우 5석가진 정당이 특위위원장 맡는게 말이되냐 비정상의 정상화 시킨것 뿐이다 뿔내지말라 니네는 원래 그럴 자격도 없었다"""
