,0
65,"""나라를 갈아엎고 노동자 세상을 만들자고 했던 사람이 가장자본주의적 사모펀드를 하다니. 이중성에 쩐다. 좌빨들은 다들 현금들이 엄청나네.다들 뭘 해서 벌었는지 모르지만. 좌빨흉내 그만내지,생계형 좌빨도 아닌데"""
66,"""사회주의 노동자를 위한다는 인간이  자본주의의  어두운면을 이용하여 부를 축적한다?"""
67,"""어이.조국이...나도 니랑 같은 고향이다.그라고 연배도 니보다는 몇살위고..니가 모시는 문쩝쩝이 고등학교 후배고.. 근데 .중요한게 뭔줄 아나...바둑에도 아생후연살타 라는게 있다..내가 먼저 살고 상대를 친다.. 북한..반일.ㅡ니네들 꼴리는데로 해라..거두절미하고 한가지만 말한다 .문 쩝쩝이취임하자마자 집무실옆에 일자리 상황판 만들어서  온갖 언론 기자들 불러모아  앞으로 매일 직접 일자리를 챙기겟다고 쇼햇제..그일자리 상황판 가져와봐라.. ..젊은 친구들 일자리 직접 챙기겟다메..국민돈으로 만든 쑈하는 단기알바 일자리 말고.."""
68,"""문제는 개걸조로가 모든 정보를 쥐고 흔들수 있는 청와대 민정수석을 할때 사모펀드에 가입했다는거지..사노맹출신이 뒤로는 돈을 조낸 밣혀..어휴 구역질나..우엑~"""
69,"""갖고있던 주식 팔아서 지인 소개로 사모펀드..그 리스크 크다는..그냥 0될수도 있는거에 현금 10억 넣었대. 그냥 상식적으로 납득이되냐? 불법은 아니지. 투자 하는거야 지맘이니. 근데 이거 보니 조국이가 하는 말은 이제 무슨 말을 하더라도 사람들이 안믿을거 같다."""
70,"""조국이 보면 김의겸이 보다 더하면 더했지 못하지 않다. 몰빵투자 펀드투자 이해상충행위 내부자료 이용했을 가능성 매우크다. 재산보다 많은 금액을 투자약정한 이유가 그런것이고 신고한 재산이 거짓이다. 감춰 놓은 재산이 더 있기 때문에 그런 약정을 했다. 길을 막고 물어봐라. 약정서 금액 기재가 잘못된거라고? 장난하니? 교수씩이나 해처먹던 놈이 금액기재가 잘못된 약정서에 싸인을 했다고? 그것도 법을 전공한 새끼가?"""
71,"""지식인인 척, 깨어있는 척, 나라 위하는 척 갖은 위선에 꼴깝은 빡대가리 문달창들의 필수불가결한 요소"""
72,"""문죄앙 이 개...새×야  당신이 제일 나빠 아무리 퇴임후가 걱정되도 그렇지 저렇게 위선적이고 탐욕적인 놈을 법무장관으로 임명해? 사법개혁은 개뿔 조국 이새기는 법을 전공해서 자기재산불리는데만 혈안이 되어 있고 교묘하게 법망을 빠져나갈 궁리만 하는 법꾸라지야 부친사학재단 사모펀드 부동산거래 꼭 철저히 수사해라"""
73,"""보기싫은순서대로. 나열하시요.\n\n문재앙  이해챤 조국 김정숙 박원숭  유쉬민 정경두 임종석\n간경화 문정인..."""
74,"""조국 버려라~  문재인아~   20년 장기집권은 커녕  너도 위태하다"""
75,"""청와대 짱 박혀서 한거라곤 sns질 투자짓 민간사찰"""
76,"""돈에 미친 사기꾼에 빨갱이 자식 ᆢ"""
77,"""젊고권력없을땐 뜨거운사회주의 나이먹고 권력있어니 뜨거운자본주자로 변했네ㅋ"""
78,"""더러운 사회주의 사상을 가진 새끼...그러면서  자본주의 단물은 쬭쬭...\n우리나라  장관후보가 없냐...재인아...정신좀 차려라...왜 맨날 분란만 일으키니...대통새끼가 국민들 스트레스 줄일있니 ???"""
79,"""최순실이낫다"""
80,"""민정수석에 있을떄 정부사업에 투자하는 사모펀드에 전재산보다 많은 돈을 투자 계약 ㅋㅋㅋㅋ  이게 나라냐? 이런새끼가 모 법무부장관을 한다고? 얼마나 더 나라를 말아먹어야겠냐 미츤 문슬람덜아...."""
81,"""인민들에게는 죽창 들고 싸우자 해놓고..본인은 뒤에서 온갖 미심쩍은 방법으로 재테크..이건 정말 아니지않나요? 민정수석씩이나 되었는데..의뭉스러운 사모펀드에 그 큰 돈을 꼭 넣었어야 했나요?"""
82,"""좌편향 경향도 까는걸 보니 자진 사퇴하소"""
83,"""진쨔 너무한다.. 사악하기 그지없다...  양심이라곤 전혀없는 진짜 쓰레기네.. 니자신이 니가 용서되냐??"""
84,"""하라는 인사검증은 내팽개치고 돈벌궁리만 한작자.\n 법무장관하면  교도소  식자재납 품하고. 덤으로 담배공급하면 수익이 짭짭하겠네. 저런 소인배가  정권실세라고\n  개가웃는다. 챙피하다 좌파들"""
85,"""진짜 지저분하네...아내가  이혼한 제수씨에게 팔고 사는 건 자기 어머니? 동생이 재단을 상대로 소송내고 방어도 안하고 승소 사학재단에서 돈 챙겨가고 ㅎㅎ 참 돈 없어서 세금도 못 냈다고 했는데 이사장 가족이 소송  걸어 돈 빼가니"""
86,"""법무장관은 커녕 교도소에 잡아쳐넣어라. 도대체 세상이 어떻게 되려고 이런 흉악한 범죄자가 법무장관이라니.."""
87,"""장관 후보 지명됐다가 온갖 치부 다 드러나네  저런 쌍판이 장관되서 개혁 외치는 개소리 들을거 생각하니  벌써  짜증난다"""
88,"""★이런 새끼가..법무부 장관??? 문재인이 대통령되는 거 버금가는 사태다... C8"""
89,"""이사람 나쁜짓은 다하고 있었네~"""
90,"""이래도 어차피 무시하고 법무장관 세울텐데? 원래 재들이 내로남불 쩔잖어"""
91,"""지인소개로 소규모 사모펀드에 간 크게10 억 이상을 투자한다고? ㅋㅋ  미친 투자 아니냐? ㅋ"""
92,"""예상은 했지만, 예상을 훨씬 뛰어넘는 막가파 조국이여! \n사회주의 운운하며 공산주의 국가를 꿈꾸면서, 제2의 김씨 \n 일가를 구축하려고 했구나! 어쩌냐! 구렁이 담 넘어가듯 넘어갈 줄 알았더냐? 어찌 이렇게 구질구질하게 살았더냐! 나 \n 비록 문씨 정부 들어,경제적으로는 내 생애 가장 어렵지만, 너처럼 위선적으로 사느니, 좀 여유있게 살지 못해도, 하늘을  우러러 부끄럽지 않는 삶을 살리라 다짐해 본다.~ 온갖 편법을 동원한 너의 삶의 행태는 너의 글 속에 다 녹아 있었음을 이로서 만천하에 드러나 가소롭기가 그지 없구나!~"""
93,"""할수 있는 부정한 짓은 다 하는 것 같고, 나라의 근간을 흔드는 빨갱이이뿐"""
94,"""미사일은 쐈는데 실검은 안오르지 조국은 문제가 많은데 실검에도 안오르지 키아 탄핵집회는 검색도 잘안되고... 빨갱이들 언론장악은 아주  그리고 연예인들 실검에 오르고 이런 비슷한 상황이었을 때 ㅇㅇ도 개똥쇠들은 으따 뭐슬 숨기려고 이런 연예인 기사가 뜨냥깽 시기가 홍어같당깽 이라는 댓글도 보이지 않고 서울시 광장에 몇천명 모여놓고 으따 수만이 모였당깽 이라면서 가득 메운 재앙이 탄핵집화는 으따 몇십명 모였당깽 이라며 숫자도 지들 고향 숨기듯 숨기고"""
95,"""거참...민정수석 하기전에도 집안 재산이 어마어마한데 증식방법이 어떻고 시끄럽더니 되고나선 더 벌어보겠다고 저짓거리...답없다..이번정부 인사는...원래 끼리끼리 라는말이 왜나오것냐...딸자식은 탈조선 시키는데 침묵할때부터 알아봤어야 했는데.."""
96,"""국민을 기만하는 더러운 위선자"""
97,"""입으로는 사회주의 사상을 지지하고. 시장경제를 경멸하고. 행동은 자본주의 시스템을 줠라 활용잘하고 있네? 돈많네 사모펀드할정도면ㅋ 과연 그 많은돈 어디서 모았을까? 대학교 교수나 하던 양반이. 주식. 해외선물. 스캘핑.단타.돌파매매.스윙매매 줜나 한건가? 부동산만으로는 저렇게 안될텐데"""
98,"""재산도 많고 재산 굴리는 능력도 뛰어난사람이 서민경제? 웃기는거지"""
99,"""그냥 잘생긴 우병우... 아니 하는짓은 우병우보다 더한데 이정도면"""
100,"""보나마나 정부돈 따먹는 작전에 들어간 거지. 확실한 수익이 날 거니까 76억 배팅한 거고. \n검찰은 당장 수사해라. 아니 권력형 비리니까 특검해야겠다. 특검 검사로는 우병우를 추천한다."""
101,"""죽창들고 싸우자고 선동하면서 자기는 권력으로 돈해쳐먹고 있었네. 문/등/신도 조사해라."""
